lr,hidden_dim1,hidden_dim2,weight_decay,activation,best_val_acc,elapsed,weight_path
0.01,512,256,0.001,relu,0.6449382716049382,0,search_weights/model_lr0.01_h512-256_wd0.001_relu.npz
0.05,512,256,0.0005,relu,0.6427160493827161,0,search_weights/model_lr0.05_h512-256_wd0.0005_relu.npz
0.05,2048,1024,0.0,tanh,0.6234567901234568,529.2,search_weights/model_lr0.05_h2048-1024_wd0.0_tanh.npz
0.05,2048,256,0.001,tanh,0.6217283950617284,0,search_weights/model_lr0.05_h2048-256_wd0.001_tanh.npz
0.05,2048,512,0.0005,tanh,0.6207407407407407,617.6,search_weights/model_lr0.05_h2048-512_wd0.0005_tanh.npz
0.05,2048,512,0.001,tanh,0.6207407407407407,591.1,search_weights/model_lr0.05_h2048-512_wd0.001_tanh.npz
0.05,2048,512,0.0,tanh,0.6204938271604938,0,search_weights/model_lr0.05_h2048-512_wd0.0_tanh.npz
0.05,2048,1024,0.0005,tanh,0.6202469135802469,607.7,search_weights/model_lr0.05_h2048-1024_wd0.0005_tanh.npz
0.05,2048,1024,0.001,tanh,0.6195061728395062,615.9,search_weights/model_lr0.05_h2048-1024_wd0.001_tanh.npz
0.05,1024,256,0.001,tanh,0.6182716049382716,0,search_weights/model_lr0.05_h1024-256_wd0.001_tanh.npz
0.05,1024,512,0.001,tanh,0.6167901234567901,0,search_weights/model_lr0.05_h1024-512_wd0.001_tanh.npz
0.05,1024,1024,0.0,tanh,0.6160493827160494,0,search_weights/model_lr0.05_h1024-1024_wd0.0_tanh.npz
0.05,1024,256,0.0,tanh,0.6158024691358025,0,search_weights/model_lr0.05_h1024-256_wd0.0_tanh.npz
0.05,2048,256,0.0005,tanh,0.6155555555555555,0,search_weights/model_lr0.05_h2048-256_wd0.0005_tanh.npz
0.05,1024,256,0.0005,tanh,0.6153086419753087,0,search_weights/model_lr0.05_h1024-256_wd0.0005_tanh.npz
0.05,2048,256,0.0,tanh,0.6148148148148148,0,search_weights/model_lr0.05_h2048-256_wd0.0_tanh.npz
0.05,1024,512,0.0,tanh,0.6135802469135803,0,search_weights/model_lr0.05_h1024-512_wd0.0_tanh.npz
0.05,1024,1024,0.0005,tanh,0.6123456790123457,0,search_weights/model_lr0.05_h1024-1024_wd0.0005_tanh.npz
0.05,1024,1024,0.001,tanh,0.6116049382716049,0,search_weights/model_lr0.05_h1024-1024_wd0.001_tanh.npz
0.05,512,512,0.0,tanh,0.6111111111111112,0,search_weights/model_lr0.05_h512-512_wd0.0_tanh.npz
